Company Name,Address,City,State,Zip,County,Phone Number,Fax Number,Company Contact,Contact Title,Employees,Revenue,Industry,SIC Code,SIC Code Description,Website
R A Brooks Trucking Co,PO Box 17722,N Little Rock,AR,72117-0722,Pulaski,Not in Sample,Not in Sample,Charles Brooks,Owner,24,3507730,Motor Freight Transportation (Transportation),4213,"Trucking, Except Local",
Cognisa Security Svc,20 N Main St,Norwalk,CT,06854-2656,Fairfield,Not in Sample,Not in Sample,Chris Sorgenferi,Manager,99,2871000,Business Services (Services),7381,Detective And Armored Car Services,www.cognisa.com
Westport Twn Building Inspctr,515 Post Rd E,Westport,CT,06880-4404,Fairfield,Not in Sample,Not in Sample,Steve Smith,Manager,5,0,"Legislative, Executive and General Government other than Finance (Government)",9121,Legislative Bodies,www.ci.westport.ct.us
Typing Unlimited,4154 Madison Ave,Trumbull,CT,06611-3563,Fairfield,Not in Sample,Not in Sample,Carolyn Evans,President,26,1969500,Business Services (Services),7338,Secretarial And Court Reporting,www.typingunlimited.net
Northeast Thermography,10 Capitol Dr # B,Wallingford,CT,06492-6810,New Haven,Not in Sample,Not in Sample,Elliott Greenspan,Owner,11,2059200,"Publishing, Allied and Printing Industries (Industries)",2759,"Commercial Printing, Nec",www.nethermography.com
Christian Bernard,100 Greyrock Pl # 222,Stamford,CT,06901-3118,Fairfield,Not in Sample,Not in Sample,Jennifer Collins,Manager,5,926640,Miscellaneous Retail (Stores),5944,Jewelry Stores,www.christianbernard.com
Morris Foundation Women & Chil,79 Beacon St,Waterbury,CT,06704-3424,New Haven,Not in Sample,Not in Sample,Joan Huskins,Manager,13,0,Membership Organizations (Organizations),8699,"Membership Organizations, Nec",www.morris4change.org
Nardella's Turf Care Inc,276 Meadow St,Branford,CT,06405-3804,New Haven,Not in Sample,Not in Sample,Anthony Nardella,Owner,6,582120,Agricultural Services (Services),782,Lawn And Garden Services,www.nardellaturf.com
Iroquois Gas Transmission Syst,1 Corporate Dr # 600,Shelton,CT,06484-6260,Fairfield,Not in Sample,Not in Sample,Ej Holm,CEO,95,146880000,"Gas, Electric and Sanitary Services (Services)",4925,Gas Production And/Or Distribution,www.iroquois.com
Diorio Restaurant & Bar,231 Bank St,Waterbury,CT,06702-2213,New Haven,Not in Sample,Not in Sample,Patricia Barucci,Owner,24,990000,Eating and Drinking Establishments (Food),5812,Eating Places,www.diorios.com
Easton Superintendent-Schools,605 Main St,Monroe,CT,06468-2853,Fairfield,Not in Sample,Not in Sample,Allen Fossbender,Administrator,14,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.er9.org
Precision Mechanical Svc,27 York St,Guilford,CT,06437-2454,New Haven,Not in Sample,Not in Sample,Kevin Wypychoski,Owner,16,6103440,Wholesale Trade - Durable Goods (Products),5087,Service Establishment Equipment,www.15300.com
Guardian Systems Inc,19 Stony Hill Rd,Bethel,CT,06801-1049,Fairfield,Not in Sample,Not in Sample,Jerry Terracino,Owner,12,1366800,Miscellaneous Retail (Stores),5999,"Miscellaneous Retail Stores, Nec",www.guardiansys.com
Kesten-Brown Insurance,535 Clinton Ave,Bridgeport,CT,06605-1702,Fairfield,Not in Sample,Not in Sample,Robert Kesten,President,7,836280,"Insurance Brokers, Agents and Services (Insurance)",6411,"Insurance Agents, Brokers, And Service",www.kbiins.com
Boman Tool Co,67 Erna Ave,Milford,CT,06460-3118,New Haven,Not in Sample,Not in Sample,Alan Godman,President,9,1217700,Commercial and Industrial Machinery and Computer Equipment (Equipment),3599,"Industrial Machinery, Nec",www.bomantool.com
Connecticut Lubrication Svc,12 Washington Ave,East Haven,CT,06512-3767,New Haven,Not in Sample,Not in Sample,Robert Conners,President,3,3404800,Wholesale Trade - Durable Goods (Products),5013,Motor Vehicle Supplies And New Parts,www.ctlube.com
Lighting Services Inc,150 Brookside Rd,Waterbury,CT,06708-1489,New Haven,Not in Sample,Not in Sample,R K Clark,CEO,32,3855060,Miscellaneous Repair Services (Services),7629,Electrical Repair Shops,www.lightingservicesinc.net
Steve Basso Plumbing & Heating,83 Brookfield Ave,Bridgeport,CT,06610-3004,Fairfield,Not in Sample,Not in Sample,Stephen Basso,Owner,16,2211900,Construction - Special Trade Contractors (Construction),1711,"Plumbing, Heating, Air-Conditioning",www.bassophac.com
Prudential Wheeler Real Estate,671 Post Rd,Darien,CT,06820-4718,Fairfield,Not in Sample,Not in Sample,Margaret Wright,Manager,36,4736900,Real Estate (Housing),6531,Real Estate Agents And Managers,www.pruwheeler.com
Lincraft Contracting,90 Hamilton St,New Haven,CT,06511-5920,New Haven,Not in Sample,Not in Sample,Henry Syvertsen,Owner,3,693840,Building Construction - Operative Builders and General Contractors (Construction),1521,Single-Family Housing Construction,www.lincraft.net
Broadford & Maloney,2 Sound View Dr # 100,Greenwich,CT,06830-6471,Fairfield,Not in Sample,Not in Sample,Martin Maloney,Owner,5,938520,Business Services (Services),7311,Advertising Agencies,www.sccouncil.org
Furniture Barn & Manor House,535 W Main St,Cheshire,CT,06410-2448,New Haven,Not in Sample,Not in Sample,Fred Reich,President,8,2304000,"Furnishing, Equipment and Home Furniture Stores (Stores)",5712,Furniture Stores,www.thefurniturebarn.com
